Scan	  Chan 1	

1	0.271301	
2	-0.169067	
3	-0.422974	
4	0.438538	
5	-0.307922	
6	0.281372	
7	-0.169373	
8	-0.4245	
9	0.417175	
10	-0.313416	
11	0.277405	
12	-0.165405	
13	-0.428772	
14	0.426025	
15	-0.323792	
16	0.266724	
17	-0.17395	
18	-0.424194	
19	0.426636	
20	-0.317993	
21	0.289307	
22	-0.165405	
23	-0.421448	
24	0.414124	
25	-0.337219	
26	0.273743	
27	-0.170288	
28	-0.420532	
29	0.426636	
30	-0.317078	
31	0.277405	
32	-0.170898	
33	-0.419922	
34	0.411377	
35	-0.314636	
36	0.286865	
37	-0.164185	
38	-0.413208	
39	0.428467	
40	-0.330811	
41	0.271301	
42	-0.177002	
43	-0.414124	
44	0.433655	
45	-0.322571	
46	0.287476	
47	-0.170898	
48	-0.413513	
49	0.404663	
50	-0.322876	
51	0.275879	
52	-0.168457	
53	-0.405579	
54	0.433044	
55	-0.314636	
56	0.278015	
57	-0.172119	
58	-0.406799	
59	0.415039	
60	-0.317383	
61	0.290833	
62	-0.167847	
63	-0.392151	
64	0.418091	
65	-0.3302	
66	0.273438	
67	-0.175171	
68	-0.391235	
69	0.428467	
70	-0.328369	
71	0.286865	
72	-0.172424	
73	-0.387573	
74	0.411377	
75	-0.32135	
76	0.273743	
77	-0.171204	
78	-0.384827	
79	0.426331	
80	-0.333252	
81	0.272522	
82	-0.179138	
83	-0.377808	
84	0.419617	
85	-0.328674	
86	0.292358	
87	-0.169373	
88	-0.369873	
89	0.414124	
90	-0.332336	
91	0.275269	
92	-0.177917	
93	-0.362244	
94	0.427551	
95	-0.315857	
96	0.283508	
97	-0.173035	
98	-0.357056	
99	0.421448	
100	-0.326538	
101	0.285645	
102	-0.166626	
103	-0.357666	
104	0.42572	
105	-0.336914	
106	0.274048	
107	-0.18158	
108	-0.352173	
109	0.42572	
110	-0.338745	
111	0.294189	
112	-0.172424	
113	-0.344849	
114	0.406189	
115	-0.339661	
116	0.278625	
117	-0.175476	
118	-0.340576	
119	0.434875	
120	-0.326233	
121	0.28595	
122	-0.176697	
123	-0.335083	
124	0.412903	
125	-0.335388	
126	0.288391	
127	-0.17395	
128	-0.327454	
129	0.428467	
130	-0.337219	
131	0.274963	
132	-0.182495	
133	-0.316162	
134	0.429077	
135	-0.33905	
136	0.290527	
137	-0.175171	
138	-0.307922	
139	0.411377	
140	-0.318298	
141	0.26947	
142	-0.178528	
143	-0.303345	
144	0.424805	
145	-0.323792	
146	0.285645	
147	-0.183716	
148	-0.300293	
149	0.418091	
150	-0.333557	
151	0.295105	
152	-0.175781	
153	-0.282288	
154	0.418701	
155	-0.336914	
156	0.27771	
