Scan	  Chan 1	

1	-0.289917	
2	0.205688	
3	0.067749	
4	-0.407715	
5	0.343933	
6	-0.284424	
7	0.202332	
8	0.0643921	
9	-0.41687	
10	0.346069	
11	-0.279846	
12	0.209045	
13	0.078125	
14	-0.403748	
15	0.352173	
16	-0.286865	
17	0.196533	
18	0.0744629	
19	-0.409241	
20	0.344238	
21	-0.279846	
22	0.215454	
23	0.0909424	
24	-0.409546	
25	0.317993	
26	-0.288086	
27	0.20874	
28	0.0979614	
29	-0.398254	
30	0.329285	
31	-0.284729	
32	0.196838	
33	0.101318	
34	-0.407104	
35	0.325317	
36	-0.283203	
37	0.210571	
38	0.122681	
39	-0.401611	
40	0.3302	
41	-0.287781	
42	0.19989	
43	0.114441	
44	-0.39978	
45	0.343323	
46	-0.277405	
47	0.20874	
48	0.118713	
49	-0.400085	
50	0.325623	
51	-0.281067	
52	0.209351	
53	0.136108	
54	-0.39093	
55	0.33905	
56	-0.272522	
57	0.197144	
58	0.136414	
59	-0.400696	
60	0.33905	
61	-0.278931	
62	0.20874	
63	0.146484	
64	-0.394897	
65	0.335388	
66	-0.285645	
67	0.195923	
68	0.155945	
69	-0.393066	
70	0.35614	
71	-0.276794	
72	0.197754	
73	0.157776	
74	-0.404968	
75	0.349426	
76	-0.275269	
77	0.198975	
78	0.177612	
79	-0.390015	
80	0.340881	
81	-0.283203	
82	0.187073	
83	0.175476	
84	-0.394287	
85	0.342712	
86	-0.2771	
87	0.206909	
88	0.196228	
89	-0.394897	
90	0.318298	
91	-0.284729	
92	0.195923	
93	0.198364	
94	-0.389099	
95	0.3479	
96	-0.278931	
97	0.189209	
98	0.212402	
99	-0.396729	
100	0.337524	
101	-0.279541	
102	0.203857	
103	0.223999	
104	-0.382996	
105	0.339661	
106	-0.281982	
107	0.189209	
108	0.219727	
109	-0.393066	
110	0.360107	
111	-0.271912	
112	0.203857	
113	0.230408	
114	-0.392761	
115	0.31311	
116	-0.273132	
117	0.196838	
118	0.249939	
119	-0.392456	
120	0.332947	
121	-0.266113	
122	0.188599	
123	0.250244	
124	-0.39093	
125	0.322571	
126	-0.271912	
127	0.200195	
128	0.266418	
129	-0.39093	
130	0.325928	
131	-0.276489	
132	0.186157	
133	0.274353	
134	-0.383911	
135	0.333862	
136	-0.267029	
137	0.189819	
138	0.273438	
139	-0.405884	
140	0.315247	
141	-0.269775	
142	0.186768	
143	0.289612	
144	-0.391846	
145	0.341492	
146	-0.272827	
147	0.183716	
148	0.290833	
149	-0.397339	
150	0.332031	
151	-0.265198	
152	0.199585	
153	0.312195	
154	-0.395203	
155	0.318604	
156	-0.275574	
157	0.184021	
158	0.324402	
159	-0.391235	
160	0.32196	
161	-0.264587	
162	0.185547	
163	0.330811	
164	-0.400696	
165	0.328674	
166	-0.269775	
167	0.196533	
168	0.343018	
169	-0.389709	
170	0.327148	
171	-0.26825	
172	0.1828	
173	0.335083	
174	-0.393372	
175	0.343323	
176	-0.262146	
177	0.195618	
178	0.352783	
179	-0.394592	
180	0.317993	
181	-0.26123	
182	0.184937	
183	0.36499	
184	-0.386353	
185	0.353699	
186	-0.255127	
187	0.183411	
188	0.362854	
189	-0.397034	
190	0.312195	
191	-0.263977	
192	0.191956	
193	0.380859	
194	-0.386047	
195	0.339661	
196	-0.269165	
197	0.175476	
198	0.375366	
199	-0.392151	
200	0.322266	
201	-0.258484	
202	0.18158	
203	0.378418	
204	-0.388794	
205	0.321045	
206	-0.265198	
207	0.171509	
208	0.392761	
209	-0.391235	
210	0.320129	
211	-0.263672	
212	0.176392	
213	0.380249	
214	-0.393982	
215	0.316162	
216	-0.26062	
217	0.189819	
218	0.397034	
219	-0.389099	
220	0.308533	
221	-0.26947	
222	0.174255	
223	0.39032	
224	-0.392456	
225	0.334473	
226	-0.259094	
227	0.184326	
228	0.378418	
229	-0.395813	
230	0.324402	
231	-0.267334	
232	0.184631	
233	0.397644	
234	-0.391541	
235	0.338745	
236	-0.260315	
237	0.174561	
238	0.392761	
239	-0.396118	
240	0.333557	
241	-0.256958	
242	0.188599	
243	0.405579	
244	-0.393066	
245	0.324097	
246	-0.254517	
247	0.17395	
248	0.402222	
249	-0.392761	
250	0.33905	
251	-0.252075	
252	0.179749	
253	0.39917	
254	-0.399475	
255	0.313416	
256	-0.26062	
257	0.184937	
