Scan	  Chan 1	

1	0.366516	
2	-0.300293	
3	0.235596	
4	-0.141296	
5	-0.40863	
6	0.390015	
7	-0.292664	
8	0.244141	
9	-0.141296	
10	-0.41626	
11	0.363464	
12	-0.299072	
13	0.245056	
14	-0.136108	
15	-0.406189	
16	0.389404	
17	-0.298462	
18	0.231323	
19	-0.143433	
20	-0.416565	
21	0.371704	
22	-0.292969	
23	0.244141	
24	-0.134888	
25	-0.415344	
26	0.36438	
27	-0.299072	
28	0.231628	
29	-0.136108	
30	-0.41626	
31	0.371399	
32	-0.292664	
33	0.232544	
34	-0.140076	
35	-0.421448	
36	0.364685	
37	-0.295105	
38	0.241089	
39	-0.131836	
40	-0.414734	
41	0.362549	
42	-0.297546	
43	0.22644	
44	-0.137329	
45	-0.411377	
46	0.368958	
47	-0.289917	
48	0.238037	
49	-0.113525	
50	-0.414124	
51	0.359192	
52	-0.297546	
53	0.229797	
54	-0.109863	
55	-0.411072	
56	0.368042	
57	-0.291748	
58	0.223083	
59	-0.0979614	
60	-0.417786	
61	0.346375	
62	-0.290833	
63	0.236511	
64	-0.0839233	
65	-0.408325	
66	0.343323	
67	-0.296021	
68	0.221863	
69	-0.0802612	
70	-0.409851	
71	0.378418	
72	-0.288391	
73	0.231628	
74	-0.0622559	
75	-0.415344	
76	0.351868	
77	-0.294495	
78	0.231018	
79	-0.0460815	
80	-0.397339	
81	0.368652	
82	-0.292969	
83	0.218506	
84	-0.0424194	
85	-0.411682	
86	0.348511	
87	-0.289307	
88	0.232239	
89	-0.0283813	
90	-0.402832	
91	0.359497	
92	-0.2948	
93	0.218811	
94	-0.0210571	
95	-0.402527	
96	0.365295	
97	-0.285034	
98	0.223389	
99	-0.0183105	
100	-0.400085	
101	0.342102	
102	-0.290527	
103	0.229797	
104	0.0088501	
105	-0.404053	
106	0.344849	
107	-0.292969	
108	0.213623	
109	0.000915527	
110	-0.397644	
111	0.36438	
112	-0.285034	
113	0.229492	
114	0.017395	
115	-0.403137	
116	0.328064	
117	-0.292664	
118	0.217285	
119	0.0262451	
120	-0.392761	
121	0.357056	
122	-0.285339	
123	0.214233	
124	0.0192261	
125	-0.395508	
126	0.328979	
127	-0.286255	
128	0.226135	
129	0.0421143	
130	-0.396118	
131	0.339966	
132	-0.290222	
133	0.210876	
134	0.0396729	
135	-0.395508	
136	0.353699	
137	-0.281982	
138	0.221863	
139	0.0454712	
140	-0.397644	
141	0.355225	
142	-0.288696	
143	0.218506	
144	0.0561523	
145	-0.397644	
146	0.348511	
147	-0.284729	
148	0.20813	
149	0.0512695	
150	-0.404053	
151	0.342102	
152	-0.281677	
153	0.221558	
154	0.0723267	
155	-0.402832	
156	0.335693	
157	-0.289307	
158	0.206909	
159	0.072937	
160	-0.403442	
161	0.346985	
162	-0.279846	
163	0.214539	
164	0.0775146	
165	-0.401917	
166	0.332336	
167	-0.285339	
168	0.21759	
169	0.0979614	
170	-0.399475	
171	0.35553	
172	-0.284729	
173	0.202026	
174	0.0994873	
175	-0.404053	
176	0.348206	
177	-0.27832	
178	0.216064	
179	0.11322	
180	-0.404663	
181	0.340576	
182	-0.28656	
183	0.204163	
184	0.121765	
185	-0.39917	
186	0.361328	
187	-0.279236	
188	0.203247	
189	0.124512	
190	-0.403137	
191	0.343628	
192	-0.279541	
193	0.214233	
194	0.144348	
