Scan	  Chan 1	

1	-0.353394	
2	0.253296	
3	-0.206299	
4	-0.0183105	
5	0.427246	
6	-0.351562	
7	0.299377	
8	-0.188293	
9	-0.0491333	
10	0.402832	
11	-0.344238	
12	0.28717	
13	-0.179138	
14	-0.0143433	
15	0.422974	
16	-0.342712	
17	0.295105	
18	-0.2005	
19	-0.0268555	
20	0.397644	
21	-0.359192	
22	0.260925	
23	-0.195923	
24	-0.0131226	
25	0.428772	
26	-0.349426	
27	0.282593	
28	-0.196533	
29	-0.0500488	
30	0.419312	
31	-0.331726	
32	0.299683	
33	-0.184021	
34	-0.0274658	
35	0.411987	
36	-0.354919	
37	0.287476	
38	-0.196533	
39	-0.0198364	
40	0.413513	
41	-0.332642	
42	0.260925	
43	-0.202942	
44	-0.0323486	
45	0.417175	
46	-0.350037	
47	0.296936	
48	-0.189209	
49	-0.0466919	
50	0.406494	
51	-0.335388	
52	0.28656	
53	-0.186462	
54	-0.0369263	
55	0.426941	
56	-0.353394	
57	0.299377	
58	-0.195618	
59	-0.0317383	
60	0.402222	
61	-0.35614	
62	0.256958	
63	-0.197754	
64	-0.0259399	
65	0.437012	
66	-0.346985	
67	0.284424	
68	-0.198364	
69	-0.0558472	
70	0.411072	
71	-0.33783	
72	0.300903	
73	-0.178528	
74	-0.0286865	
75	0.420837	
76	-0.350342	
77	0.285645	
78	-0.19989	
79	-0.032959	
80	0.42572	
81	-0.334778	
82	0.276794	
83	-0.196838	
84	-0.0390625	
85	0.422668	
86	-0.357361	
87	0.29541	
88	-0.193481	
89	-0.0558472	
90	0.420227	
91	-0.332642	
92	0.286255	
93	-0.187378	
94	-0.0408936	
95	0.421448	
96	-0.3479	
97	0.298462	
98	-0.191956	
99	-0.0396729	
100	0.402527	
101	-0.345764	
102	0.266418	
103	-0.198364	
104	-0.038147	
105	0.431519	
106	-0.324402	
107	0.293579	
108	-0.195618	
109	-0.0732422	
110	0.418396	
111	-0.345459	
112	0.298767	
113	-0.161743	
114	-0.043335	
115	0.427856	
116	-0.333252	
117	0.283508	
118	-0.198975	
119	-0.0582886	
120	0.426636	
121	-0.338745	
122	0.282288	
123	-0.190125	
124	-0.0500488	
125	0.420227	
126	-0.341492	
127	0.285339	
128	-0.191956	
129	-0.0631714	
130	0.440369	
131	-0.34729	
132	0.295715	
133	-0.17395	
134	-0.0595093	
135	0.406799	
136	-0.33844	
137	0.299072	
138	-0.191345	
139	-0.0595093	
140	0.430603	
141	-0.350342	
142	0.274658	
143	-0.195007	
144	-0.0628662	
145	0.43335	
146	-0.346375	
147	0.297241	
148	-0.19104	
149	-0.0775146	
150	0.421753	
151	-0.344849	
152	0.288696	
153	-0.166931	
154	-0.0610352	
155	0.424805	
156	-0.346069	
157	0.28656	
158	-0.198364	
159	-0.0796509	
160	0.420227	
161	-0.347595	
162	0.284424	
163	-0.189209	
164	-0.071106	
165	0.42511	
166	-0.346375	
167	0.284424	
168	-0.196533	
169	-0.0860596	
170	0.4422	
171	-0.350342	
172	0.29541	
173	-0.169373	
174	-0.0872803	
175	0.402832	
176	-0.350342	
177	0.291138	
178	-0.19043	
