Scan	  Chan 1	

1	-0.421448	
2	0.396423	
3	-0.289307	
4	0.215454	
5	-0.119629	
6	-0.419006	
7	0.386047	
8	-0.295105	
9	0.23468	
10	-0.125122	
11	-0.415649	
12	0.370483	
13	-0.301208	
14	0.227966	
15	-0.146484	
16	-0.413513	
17	0.386658	
18	-0.278015	
19	0.231018	
20	-0.132446	
21	-0.421448	
22	0.333252	
23	-0.294189	
24	0.169678	
25	-0.142212	
26	-0.409851	
27	0.380859	
28	-0.284424	
29	0.223694	
30	-0.102234	
31	-0.419922	
32	0.364075	
33	-0.285034	
34	0.214539	
35	-0.132141	
36	-0.413513	
37	0.371399	
38	-0.305176	
39	0.219116	
40	-0.127258	
41	-0.413818	
42	0.364075	
43	-0.289612	
44	0.220947	
45	-0.144958	
46	-0.413208	
47	0.378113	
48	-0.291748	
49	0.211792	
50	-0.136719	
51	-0.404358	
52	0.369568	
53	-0.255432	
54	0.222168	
55	-0.109558	
56	-0.414124	
57	0.371704	
58	-0.290833	
59	0.151978	
60	-0.137024	
61	-0.40741	
62	0.326843	
63	-0.289612	
64	0.206299	
65	-0.0924683	
66	-0.40863	
67	0.378418	
68	-0.296326	
69	0.210266	
70	-0.128784	
71	-0.413513	
72	0.354309	
73	-0.293579	
74	0.228271	
75	-0.133667	
76	-0.408325	
77	0.364685	
78	-0.300293	
79	0.208435	
80	-0.126953	
81	-0.40741	
82	0.313416	
83	-0.288086	
84	0.176697	
85	-0.139771	
86	-0.412598	
87	0.368958	
88	-0.27832	
89	0.22644	
90	-0.0848389	
91	-0.400696	
92	0.343933	
93	-0.275879	
94	0.179443	
95	-0.133667	
96	-0.414734	
97	0.36438	
98	-0.290833	
99	0.218201	
100	-0.118408	
101	-0.40863	
102	0.350647	
103	-0.291138	
104	0.20813	
105	-0.134888	
106	-0.412903	
107	0.362854	
108	-0.293274	
109	0.202332	
110	-0.136719	
111	-0.410156	
112	0.341187	
113	-0.250244	
114	0.228882	
115	-0.0982666	
116	-0.40802	
117	0.350037	
118	-0.2948	
119	0.131226	
120	-0.137939	
121	-0.412903	
122	0.358582	
123	-0.279236	
124	0.202332	
125	-0.0900269	
126	-0.411072	
127	0.318298	
128	-0.297241	
129	0.195618	
130	-0.118408	
131	-0.406799	
132	0.345154	
133	-0.284119	
134	0.202332	
135	-0.137024	
136	-0.413818	
137	0.341492	
138	-0.283203	
139	0.214539	
140	-0.116577	
141	-0.412292	
142	0.299072	
143	-0.293579	
144	0.139771	
145	-0.139771	
146	-0.408936	
147	0.36499	
148	-0.263977	
149	0.215759	
150	-0.0762939	
151	-0.411072	
152	0.310059	
153	-0.280457	
154	0.161438	
155	-0.090332	
156	-0.411072	
157	0.345459	
158	-0.291138	
159	0.190125	
160	-0.0741577	
161	-0.412598	
162	0.328979	
163	-0.282288	
164	0.210266	
165	-0.0509644	
166	-0.407715	
167	0.348511	
168	-0.296631	
169	0.187683	
170	-0.0335693	
171	-0.404968	
172	0.357971	
173	-0.241394	
174	0.209351	
175	0.000610352	
176	-0.405884	
177	0.294495	
178	-0.295105	
179	0.1297	
180	0.00152588	
181	-0.404358	
182	0.323792	
183	-0.274048	
184	0.183105	
185	0.0564575	
186	-0.406799	
187	0.322876	
188	-0.286865	
189	0.193481	
190	0.0418091	
191	-0.401611	
192	0.316467	
193	-0.288086	
194	0.189209	
195	0.043335	
196	-0.404358	
197	0.355835	
198	-0.28595	
199	0.196533	
200	0.0494385	
201	-0.403442	
202	0.279236	
203	-0.284119	
204	0.148926	
205	0.0637817	
206	-0.406799	
207	0.355835	
208	-0.262146	
209	0.19043	
210	0.102234	
211	-0.403137	
212	0.291443	
213	-0.266113	
214	0.146484	
215	0.0790405	
216	-0.413513	
217	0.325623	
218	-0.293274	
219	0.180054	
220	0.101318	
221	-0.405884	
222	0.336609	
223	-0.276184	
224	0.187378	
225	0.0805664	
226	-0.414429	
227	0.311584	
228	-0.288696	
229	0.19104	
230	0.0930786	
231	-0.401917	
232	0.326233	
233	-0.253906	
234	0.178528	
235	0.106812	
236	-0.413208	
237	0.310669	
238	-0.282593	
239	0.117188	
240	0.0997925	
241	-0.411987	
242	0.285645	
243	-0.273438	
244	0.180359	
245	0.153198	
246	-0.399475	
247	0.340576	
248	-0.285645	
249	0.168152	
250	0.125427	
251	-0.40741	
252	0.318604	
253	-0.275879	
254	0.192566	
255	0.117798	
256	-0.400085	
257	0.338135	
258	-0.288391	
259	0.175171	
260	0.114746	
261	-0.390015	
262	0.2771	
263	-0.274963	
264	0.157166	
265	0.132446	
266	-0.396118	
267	0.319519	
268	-0.247803	
269	0.191345	
270	0.190125	
271	-0.387878	
272	0.300598	
273	-0.260315	
274	0.116577	
275	0.160522	
276	-0.400085	
277	0.325623	
278	-0.279541	
279	0.177002	
280	0.198364	
281	-0.387268	
282	0.296631	
283	-0.280762	
284	0.166931	
285	0.19165	
286	-0.391541	
287	0.325317	
288	-0.279541	
289	0.179443	
290	0.198364	
291	-0.384521	
292	0.32074	
293	-0.238953	
294	0.18158	
295	0.234985	
296	-0.386658	
297	0.287476	
298	-0.284119	
299	0.112	
300	0.21698	
301	-0.395813	
302	0.303955	
303	-0.262146	
304	0.171204	
305	0.295715	
306	-0.395203	
307	0.30365	
308	-0.280457	
309	0.150757	
310	0.260925	
311	-0.39093	
312	0.332642	
313	-0.271606	
314	0.168762	
315	0.259705	
316	-0.396423	
317	0.3302	
318	-0.2771	
319	0.179443	
320	0.261841	
321	-0.374756	
322	0.232239	
323	-0.274658	
324	0.127563	
325	0.274048	
326	-0.397034	
327	0.334167	
328	-0.228271	
329	0.179749	
330	0.300903	
331	-0.388184	
332	0.277405	
333	-0.262146	
334	0.112	
335	0.300903	
336	-0.396118	
337	0.327759	
338	-0.266724	
339	0.153198	
340	0.325012	
341	-0.399475	
342	0.284424	
343	-0.264587	
344	0.16449	
345	0.329285	
346	-0.394287	
347	0.303955	
348	-0.271606	
349	0.159912	
350	0.324097	
351	-0.388794	
352	0.311279	
353	-0.228577	
354	0.162964	
355	0.317688	
356	-0.398254	
357	0.253601	
358	-0.271301	
359	0.098877	
360	0.343628	
361	-0.385742	
362	0.289917	
363	-0.247192	
364	0.155945	
365	0.351257	
366	-0.395203	
367	0.313416	
368	-0.257874	
369	0.146179	
370	0.357971	
371	-0.382385	
372	0.318298	
373	-0.267029	
374	0.150757	
375	0.371704	
376	-0.391235	
377	0.322266	
378	-0.256958	
379	0.163269	
380	0.339661	
381	-0.392761	
382	0.238037	
383	-0.260925	
384	0.132751	
385	0.383606	
386	-0.38208	
387	0.333557	
388	-0.221252	
389	0.159912	
390	0.352783	
391	-0.377502	
392	0.294495	
393	-0.243225	
394	0.0970459	
395	0.388794	
396	-0.392456	
397	0.317993	
398	-0.256653	
399	0.145874	
400	0.386047	
401	-0.387878	
402	0.308228	
403	-0.255432	
404	0.14679	
405	0.378418	
406	-0.396729	
407	0.296631	
408	-0.262451	
409	0.168152	
410	0.39856	
411	-0.385437	
412	0.317993	
413	-0.212708	
414	0.14679	
415	0.37262	
416	-0.394287	
417	0.245972	
418	-0.256042	
419	0.10437	
420	0.389404	
421	-0.396423	
422	0.27832	
423	-0.244141	
424	0.159912	
425	0.384216	
426	-0.388184	
427	0.321655	
428	-0.247498	
429	0.119324	
430	0.384216	
431	-0.394897	
432	0.284424	
